Input,Category,Description,Choices,Default Value,Ref
GSw_HourlyNormProfiles,Operating reserves / hourly chronology,Indicate whether to normalize load/wind/solar profiles before identification of representative periods,0; 1,0,
GSw_HourlyNumClusters,Operating reserves / hourly chronology,Number of clusters to create (i.e. number of representative days or weks),int,33,
GSw_HourlyPeakLevel,Operating reserves / hourly chronology,Indicate the region hierarchy level at which to include peak coincident load days (or False to ignore peaks),false; False; FALSE; r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; ccreg,interconnect,
GSw_HourlyType,Operating reserves / hourly chronology,Indicate the type of representative period modeled (day=24-hour periods; wek=24×5=120-hour periods; year=8760-hour periods),day; wek; year,day,
GSw_HourlyWeatherYears,Operating reserves / hourly chronology,_-delimited years from which to construct weather profiles for energy/representative periods,N/A,2012,
GSw_HourlyWindow,Operating reserves / hourly chronology,Number of timeslices (GSw_HourlyChunkLengthRep hours long) to consider for minloading constraint,int,2,
GSw_HourlyWindowOverlap,Operating reserves / hourly chronology,Number of overlapping timeslices between adjacent GSw_HourlyWindow,int,1,
GSw_HourlyWrap,Operating reserves / hourly chronology,Switch to enable wrapping of final hour modeled in each representative period back to the first,0; 1,1,
GSw_HourlyWrapLevel,Operating reserves / hourly chronology,Indicate whether to wrap storage over full year or over seasons (only used for chronological 8760),season; year,year,
GSw_HybridPlant,Storage / hybrid resources,"0=Ban all storage, including CSP, 1=Allow CSP, ban all other storage, 2=Allow hybrid plants, excluding CSP, 3=Allow CSP and all other hybrid plants",0; 1; 2; 3,3,
GSw_hydED,Water / climate impacts,Turn on/off other hydro technologies except for hydED,0; 1,1,
GSw_HydroAddPumpDispUpgSwitch,Technology availability / representation,Turn on/off availability of hydro upgrades to add pumping or dispatchability,0; 1,0,
GSw_HydroCapEnerUpgradeType,Technology availability / representation,"1=coupled capacity/energy upgrades, 2=independent capacity/energy upgrades",1; 2,1,
GSw_HydroCostAddDispatch,Technology availability / representation,Cost of hydro upgrade to dispatchable (2004$/MW),N/A,309000,
GSw_HydroCostAddPump,Technology availability / representation,Cost of hydro upgrade to pumped (2004$/MW),N/A,998000,
GSw_HydroCostFracCapUp,Technology availability / representation,Fraction of upgrade cost assigned to capacity (only used if GSw_HydroUpgrade=1),float,0.8,
GSw_HydroCostFracEnerUp,Technology availability / representation,Fraction of upgrade cost assigned to energy (only used if GSw_HydroUpgrade=1),float,0.8,
GSw_HydroPSHDurData,Technology availability / representation,Turn on/off use of regional storage duration for existing PSH fleet,0; 1,1,
GSw_HydroStorInMaxFrac,Technology availability / representation,"max storage_in as fraction of capacity for psh (numerical values apply to all PSH, set to 'data' to use input file)",N/A,data,
GSw_HydroStorInMinLoad,Technology availability / representation,min loading frac for storage_in for psh,N/A,0,
GSw_HydroUpgradeCapMult,Technology availability / representation,multiplier on hydro upgrade capacity,float,1,
GSw_HydroUpgradeCostMult,Technology availability / representation,multiplier on hydro upgrade cost,float,1,
GSw_HydroVarPumpCostRatio,Technology availability / representation,fractional capital cost multiplier for new PSH with variable speed pumps relative to fixed speed,float,1.1,
GSw_Int_CC,Resource adequacy / PRM / PRAS,"Select intertemporal CC method (0=average undifferentiated, 1=average differentiated , 2=marginal differentiated)",0; 1; 2,0,
GSw_Int_Curt,Resource adequacy / PRM / PRAS,"Select intertemporal Curt method (0=average undifferentiated, 1=average differentiated , 2=marginal undifferentiated, 3=marginal differentiated)",0; 1; 2; 3,0,
GSw_InterDayLinkage,Storage / hybrid resources,Turn on (1) or off (0) the ability for interday storage techs (specified in tech-subset-table.csv) to shift energy between representative days (non-interday techs are unaffected),0; 1,0,
GSw_LfillGas,Technology availability / representation,Turn on/off lfill-gas,0; 1,1,
GSw_LoadProfiles,Demand / load / flexibility,Name of demand profile matching `inputs/profiles_demand/demand_{GSw_LoadProfiles}.h5` OR an absolute filepath to an EER-formatted demand .h5 file,^(historic|EFS_REFERENCE|EFS_MEDIUM|EFS_HIGH|EFS_Clean2035|EFS_Clean2035clip1pct|EFS_Clean2035_LTS|EFS_MEDIUMStretch2040|EFS_MEDIUMStretch2046|EER2023_Baseline_AEO2022|EER2023_IRAlow|EER2023_IRAmoderate|EER2023_100by2050|EER2025_Baseline_AEO2023|EER2025_IRAlow|EER2025_100by2050|\/.+|[a-zA-Z]:[\\\/].+)$,EER2025_IRAlow,
GSw_LoadAllocationMethod,Demand / load / flexibility,"How to allocate state-level load to model regions ('population' uses each region's share of state population, 'state_lpf' uses county-state load participation factors calculated from the NARIS nodal network dataset)",population; state_lpf,population,
GSw_Loadpoint,Model formulation / numerical controls,Switch to use or disable a loadpoint for the intertemporal solve after the first iteration,0; 1,0,
GSw_LoadSiteCF,Demand / load / flexibility,Annual capacity factor of optimally sited load (if 0 then optimally sited load is turned off; if between 0 and 1 then load is flexible (obeying stress period weight); if 1 then load is inflexible),float,0,
GSw_LoadSiteRA,Resource adequacy / PRM / PRAS,Include optimally sited load in PRAS resource adequacy metrics if set to 1 and GSw_LoadSiteCF=1,0; 1,1,
GSw_LoadSiteTrajectory,Demand / load / flexibility,inputs/load/loadsite_{GSw_LoadSiteTrajectory={hierarchy level}_{identifier}}.csv file indicating load to be optimally sited (only used if GSw_LoadSiteCF>0),^(nercr|transreg|transgrp|cendiv|st|interconnect|country|usda_region)_.*$,country_test,
GSw_MaxCaptureCCSTechs,Hydrogen / DAC / CO2 management,Switch to enable max capture (_max) CCS techs in addition to _mod. Note that you’ll need to add your own cost and performance for Gas-CC-CCS_max and coal-CCS_max,0; 1,0,
GSw_MaxDailyCF,Model formulation / numerical controls,Turn on/off daily maximum capacity factor constraint,0; 1,1,
GSw_MethaneLeakageScen,Policy / emissions constraints,Fractional leakage of methane from upstream natural gas production: either float (fixed rate) or scenario name from emission_constraints/methane_leakage_rate.csv,N/A,Alvarez2018_30by2030,
GSw_MGA_CostDelta,Model formulation / numerical controls,MGA: Fraction by which to allow objective function to increase when using Modeling to Generate Alternatives (MGA is turned off if set to 0; a common choice for MGA is 0.01),float,0,
GSw_MGA_Direction,Model formulation / numerical controls,MGA: Directionality of second optimization,(min|max),min,
GSw_MGA_Objective,Model formulation / numerical controls,MGA: Objective for MGA (uses GSw_MGA_SubObjective to specify technology subset if set to capacity),(capacity|transmission|rasharing|co2),rasharing,
GSw_MGA_SubObjective,Model formulation / numerical controls,MGA: Technology subset to minimize or maximize the capacity of (only used for GSw_MGA_Objective=capacity),(battery|ccs|coal|dac|fossil|gas|geo|h2_combustion|hydro|nuclear|ofswind|onswind|pv|re|storage|upv|vre|wind),storage,
GSw_MinCF,Model formulation / numerical controls,Turn on/off regional min CF constraint (applied at i/r level),0; 1,1,
GSw_Mingen,Model formulation / numerical controls,Turn on/off min-gen constraints by r/h/szn,0; 1,0,
GSw_MingenFixed,Model formulation / numerical controls,Turn on/off fixed min-gen constraints,0; 1,1,
GSw_MinLoading,Model formulation / numerical controls,Turn on/off the min-loading constraint by i/v/r/h,0; 1,0,
GSw_MinLoadTechs,Model formulation / numerical controls,Specify collection of techs to which to apply min-gen and min-loading constraints (0=none; 1=all; 2=all except geo/csp/lfill; 3=only nuclear/hydro; 4=only steam boiler/hydro),0; 1; 2; 3; 4,4,
GSw_NewValCapShrink,Post-solve processing - Pipeline toggle,switch to shrink valcap and related conditioning sets post-solve,0; 1,0,
GSw_NG_CRF_penalty,Fuel / commodity prices,Specify the scenario used for the natural gas CRF penalty,none; ramp_2023_2035; ramp_2045; ramp_2050; reverseramp_2022_2030; reverseramp_high_2022_2030,none,
GSw_NoFossilOffsetCDR,Policy / emissions constraints,If on (=1) then CO2 removal from DAC/BECCS is only allowed to offset emissions from fossil+CCS and methane leakage,0; 1,0,
GSw_Nuclear,Technology availability / representation,Turn on/off new nuclear (existing nuclear still remains),0; 1,1,
GSw_NuclearDemo,Technology availability / representation,Turn on or off nuclear demonstration plants,0; 1,0,
GSw_NuclearSMR,Technology availability / representation,Turn on [1] / off [0] Nuclear-SMR,0; 1,1,
GSw_NukeCoalFOM,Technology availability / representation,Turn on or off nuclear and coal FOM adders similar to NEMS,0; 1,1,
GSw_NukeFlex,Technology availability / representation,"Switch to enable more flexible nuclear operations (lower mingen, higher ramp rate)",0; 1,0,
GSw_NukeNoRetire,Retirement / refurbishment / upgrades,Switch to prevent nuclear from retiring before the year in GSw_NukeNoRetireYear has passed,0; 1,1,
GSw_NukeNoRetireYear,Retirement / refurbishment / upgrades,If GSw_NukeNoRetire is enabled nuclear cannot retire through the end of this year,N/A,2032,
GSw_NukeStateBan,Policy / emissions constraints,Switch to limit nuclear with state bans. [0] off / [1] full ban / [2] cost multiplier,0; 1; 2,1,
GSw_NukeStateBanCostMult,Policy / emissions constraints,Cost multiplier to represent state nuclear bans if the cost multiplier approach is selected,float,1.5,
GSw_NumCSPclasses,Renewable resource / siting,Number of resource classes for CSP,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,12,
GSw_NumGeoclasses,Renewable resource / siting,Number of resource classes for Geothermal,1; 2; 3; 4; 5; 6; 7; 8; 9; 10,9,
GSw_OffshoreBackbone,Transmission / spur infrastructure,Offshore zones can connect to other offshore zones,0; 1,0,
GSw_OffshoreBackflow,Transmission / spur infrastructure,Power can flow from land zones to offshore zones (allowing use of offshore transmission independent of offshore wind generation),0; 1,0,
GSw_OffshoreZones,Spatial scope / aggregation,Add new model zones for offshore resources,0; 1,0,
GSw_OfsWind,Technology availability / representation,Turn on/off offshore wind,0; 1,1,
GSw_OfsWindForceScen,Technology availability / representation,Scenario for state offshore mandates. Select {suffix} from state_policies/offshore_req_{suffix}.csv. Only active if GSw_StateRPS is on,N/A,default,
GSw_OnsWind6to10,Technology availability / representation,Turn on/off onshore wind 6-10,0; 1,1,
GSw_OpRes,Operating reserves / hourly chronology,Turn on/off operating reserve constraints (0/1) or use simplified version (2),0; 1; 2,2,
GSw_OpResCost,Operating reserves / hourly chronology,"Case used to select values used for the cost of operating reserves (e.g. default, market)",default; market,default,
GSw_OpResPeriods,Operating reserves / hourly chronology,Indicate which periods the operating reserve constraint should apply within (representative = clustered; stress/peakload/minre refer to peak load & min-RE periods) (has no effect for GSw_HourlyType=year),representative; all; stress; peakload; minre; peak; vre,peakload,
GSw_OpResReqMult,Operating reserves / hourly chronology,Multiplier for total reserve requirement (default=1),float,1,
GSw_OpResTradeMult,Operating reserves / hourly chronology,Multiplier on opres flow in transmission constraint (default=1),float,1,
GSw_OpResTradeLevel,Operating reserves / hourly chronology,hierarchy level within which to allow opres trading,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region,transreg,
GSw_OutageScen,Resource adequacy / PRM / PRAS,Scenario for forced outage rates,static; murphy2019,murphy2019,
GSw_PRM_CapCredit,Resource adequacy / PRM / PRAS,Use capacity credit formulation if 1 and stress period formulation if 0,0; 1,0,
GSw_PRM_CapCreditHours,Resource adequacy / PRM / PRAS,Number of peak net load hour per ccseason considered in capacity credit calculations,int,20,
GSw_PRM_CapCreditMulti,Resource adequacy / PRM / PRAS,Whether capacity credit is for multi-year (1) or 2012 only (0),0; 1,1,
GSw_PRM_CapCreditSeasons,Resource adequacy / PRM / PRAS,Season definition to use for capacity credit (2season is hot 4/15-10/14 and cold 10/15-4/14; 4season is meteorological seasons,2season; 4season; 12month,2season,
GSw_PRM_hierarchy_level,Resource adequacy / PRM / PRAS,hierarchy level within which to calculate peak demand,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region,nercr,
GSw_PRM_NetImportLimit,Resource adequacy / PRM / PRAS,Turn on (1) or off (0) the eq_firm_transfer_limit constraint on max firm net imports (NOTE: This constraint is only applied during stress periods in ReEDS; it is not applied in PRAS),0; 1,1,
GSw_PRM_NetImportLimitScen,Resource adequacy / PRM / PRAS,/-delimited list of {year}_{max percent import OR 'hist' for historical percent OR 'histmax' for max historical percent across all regions} values to use in eq_firm_transfer_limit,N/A,2031_hist/2050_100,
GSw_PRM_scenario,Resource adequacy / PRM / PRAS,"column of inputs/reserves/prm_annual.csv from which to draw the PRM (""nerc"" means the annual values from the 2024 NERC LTRA; ""static"" means the 2024 values from the same source); or a float (like 0.12) which gets applied as a fraction to all regions in all years (0.12 means 12%)",(static|nerc|ramp2025_20by50|^\d*\.?\d+$),0.12,
GSw_PRM_StressIncrement,Resource adequacy / PRM / PRAS,How many stress periods to add per iteration,int,2,
GSw_PRM_StressIterateMax,Resource adequacy / PRM / PRAS,Max number of times to iterate on a given solve year to achieve GSw_PRM_StressThreshold when using stress periods (0 means don't iterate; 1 means 1 extra ReEDS run; etc),int,5,
GSw_PRM_StressLoadAggMethod,Resource adequacy / PRM / PRAS,How to aggregate load for stress periods within the chunks specified by GSw_HourlyChunkLengthStress (only used if GSw_HourlyChunkAggMethod=mean; otherwise GSw_HourlyChunkAggMethod is used),mean; max,max,
GSw_PRM_StressModel,Resource adequacy / PRM / PRAS,Model used to identify stress periods: pras or a string starting with 'user' which specifies a file at inputs/temporal/stressperiods_{GSw_PRM_StressModel}.csv,N/A,pras,
GSw_PRM_StressOutages,Resource adequacy / PRM / PRAS,Whether to apply the availability factor (forced + scheduled outages) during stress periods,0; 1,1,
GSw_PRM_StressSeedLoadLevel,Resource adequacy / PRM / PRAS,Region hierarchy level at which to include peak coincident load days as seeded stress periods (or False to ignore peaks),false; False; FALSE; r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; ccreg,transgrp,
GSw_PRM_StressSeedMinRElevel,Resource adequacy / PRM / PRAS,Region hierarchy level at which to include minimum wind and solar capacity factor days as seeded stress periods (or False to ignore min-wind/solar CF days),false; False; FALSE; r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; ccreg,interconnect,
GSw_PRM_StressStorageCutoff,Resource adequacy / PRM / PRAS,"How to select ""shoulder"" stress periods giving storage time to recharge before/after high-unserved-energy periods. Two-part switch separated by _. The first argument is ""EUE"" or ""capacity"" or ""absolute"". If ""EUE"" the second argument specifies a PRAS storage headspace / EUE threshold [fraction]; if ""cap"" it specifies a headspace / storage capacity threshold [fraction]; if ""abs"" it specifies absolute number of periods before/after [integer]. Turned off if set to ""off"".",N/A,EUE_0.1,
GSw_PRM_StressThreshold,Resource adequacy / PRM / PRAS,/-delimited list of annual NEUE level [ppm] above which to re-solve the latest model year with new stress periods; formulated as HierarchyLevel_NEUEppm_StressMetric_PeriodAggMethod where HierarchyLevel is a column in hierarchy.csv; NEUEppm is normalized expected unserved energy in parts per million; StressMetric is EUE or NEUE (only used in period selection); PeriodAggMethod is 'sum' or 'max' over the hours in each period (only used in period selection) (see README.md for detailed notes),N/A,transgrp_1_EUE_sum,
GSw_PRM_UpdateFraction,Resource adequacy / PRM / PRAS,Fraction to add to the PRM if a region fails RA threshold (only used if GSw_PRM_UpdateMethod = 1),float,0.02,
GSw_PRM_UpdateMethod,Resource adequacy / PRM / PRAS,Option to update PRM: (0) no update; (1) static update set by GSw_PRM_UpdateFraction; (2) dynamic update informed by PRAS; (3) dynamic update but only after all new stress periods have been added,0; 1; 2; 3,0,
GSw_PRMTRADE_level,Resource adequacy / PRM / PRAS,hierarchy level within which to allow PRM trading,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region,country,
GSw_PSHfillyears,Storage / hybrid resources,switch to define the number of years it is assumed to take to fill PSH reservoirs [only relevant with water constraints active],N/A,3,
GSw_PSHwatertypes,Storage / hybrid resources,switch to define what types of water is available for filling PSH reservoirs (0=fresh surface/ground water; 1=fresh surface water; 2=all types except saline surface water) [only relevant with water constraints active],0; 1; 2,0,
GSw_PSHwatercon,Storage / hybrid resources,binary switch to turn water constraints for PSH on and off,0; 1,0,
GSw_PVB,Storage / hybrid resources,Turn on/off hybrid PV+Battery,0; 1,0,
GSw_PVB_BIR,Storage / hybrid resources,'_'-delimited battery/inverter capacity ratio for the three PVB types expressed as a percentage [e.g. 50_75_100],N/A,25,
GSw_PVB_Dur,Storage / hybrid resources,Hybrid PV+Battery duration; the battery portion will use the same inputs as battery_li,N/A,4,
GSw_PVB_ILR,Storage / hybrid resources,'_'-delimited inverter loading ratio for the three PVB types expressed as a percentage [e.g. 130_180_240],N/A,134,
GSw_PVB_BatteryITC,Financials / incentives,Switch to apply ITC to battery in PV+B.,0; 1,1,
GSw_PVB_Charge_Constraint,Storage / hybrid resources,Fraction of battery charging in PV+B that is constrained to be from coupled PV; a value of zero turns off the constraint.,N/A,0,
GSw_PVB_Types,Storage / hybrid resources,'_'-delimited PV+battery types to include (i.e. 1 or 1_2 or 1_2_3),N/A,1,
GSw_ReducedResource,Renewable resource / siting,Turn on/off switch to reduce the RE resource available,0; 1,0,
GSw_Refurb,Retirement / refurbishment / upgrades,Turn on/off refurbishments,0; 1,1,
GSw_RemoveSmallNumbers,Model formulation / numerical controls,Turn on/off rounding of variables known to cause very small values on the RHS of certain constraints (improve numerical stability),0; 1,1,
GSw_RetailAdder,Hydrogen / DAC / CO2 management,2004$/MWh adder to the cost of electricity consumed by hydrogen production and DAC facilities,float,0,
GSw_Retire,Retirement / refurbishment / upgrades,Endogenous retirement: 0 = no endogenous retirement; 1 = any existing plants can retire; 2 = only existing coal/gas can retire; 3 = new/existing nuclear/coal/gas can retire after minimum age; 4 = new/existing plants of any tech can retire; 5 = same as 3 but nuclear can only retire after 2030,0; 1; 2; 3; 4; 5,5,
GSw_RetirePenalty,Retirement / refurbishment / upgrades,Apply a penalty for retiring a power plant early to represent retirement friction,0; 1,1,
GSw_RetireYear,Retirement / refurbishment / upgrades,Year to begin endogenous retirements,N/A,2027,
GSw_RetireYears_Coal,Retirement / refurbishment / upgrades,"Adjust lifetime coal retirements [0 = coal retirements straight from EIA unit database, negative number = number of years decreased in the lifteime of currrently operating coal plants, positive number = number of years increased in the lifetime of all currently operating coal units]. This switch is ignored if GSw_RetireYears_Thermal (below) is non-zero since GSw_RetireYears_Thermal adjusts retirement years of all thermal units including coal units.",int,0,
GSw_RetireYears_Thermal,Retirement / refurbishment / upgrades,"Adjust lifetime thermal retirements [0 = thermal retirements straight from EIA unit database, negative number = number of years decreased in the lifteime of currrently operating thermal plants, positive number = number of years increased in the lifetime of all currently operating thermal units]",int,0,
GSw_RGGI,Policy / emissions constraints,Turn on/off RGGI,0; 1,1,
GSw_SitingGeo,Renewable resource / siting,Specify the Geothermal siting scenario,reference,reference,
GSw_SitingUPV,Renewable resource / siting,Specify the UPV siting scenario,open; reference; limited,reference,
GSw_SitingWindOfs,Renewable resource / siting,Specify the offshore wind siting scenario,open; reference; limited,reference,
GSw_SitingWindOns,Renewable resource / siting,Specify the onshore wind siting scenario,open; reference; limited,reference,
GSw_SkipAugurYear,Resource adequacy / PRM / PRAS,Last year in which to skip running the Augur module,N/A,2020,
GSw_SpurCostMult,Transmission / spur infrastructure,Multiplier for spur-line costs,float,1,
GSw_SpurScen,Transmission / spur infrastructure,Spur-line scenario: 0 to include in resource supply curve; 1 to model endoegenously,0; 1,0,
GSw_SpurShare,Transmission / spur infrastructure,Indicate whether wind-ons and upv are allowed to share spur line capacity,0; 1,0,
GSw_StartMarkets,Temporal / solve structure,Indicate year in which load-balance and operating-reserve constraints start to be enforced,N/A,2026,
GSw_StartCost,Model formulation / numerical controls,Technologies with startup costs (0=none; 1=nuclear; 2=nuclear/coal/ccs; 3=coal/ccs; 4=coal/cc/ccs; 5=all fuel-based except nuclear; 6=all fuel-based) (default is to leave out nuclear since it's always committed with GSw_MingenFixed=1),0; 1; 2; 3; 4; 5; 6,4,
GSw_StateCap,Policy / emissions constraints,Turn on/off state cap and trade constraints,0; 1,1,
GSw_StateRPS,Policy / emissions constraints,Turn on/off state RPS requirements,0; 1,1,
GSw_StateRPS_Carveouts,Policy / emissions constraints,Turn wind and solar carveouts off/on,0;1,0,
GSw_StateCO2ImportLevel,Policy / emissions constraints,Hierarchy level within which to calculate CO2 emissions rate [metric ton/MWh] for state CO2 caps,r; nercr; transreg; cendiv; st; interconnect; country; usda_region,interconnect,
GSw_Storage,Storage / hybrid resources,0=ban storage; 1=use all standalone storage techs,0; 1,1,
GSw_StorageBinPenalty,Resource adequacy / PRM / PRAS,Turn on/off the storage bin penalty for the PRM method (when on results in better firm capacity outputs),0; 1,1,
GSw_TCPhaseout,Financials / incentives,Switch for whether tax credit Phaseout is enabled (0=no; 1=yes),0; 1,1,
GSw_TCPhaseout_forceyear,Financials / incentives,(0=off by default) Indicate a year in which to force the start of the tax credit phaseout,N/A,2032,
GSw_TCPhaseout_ref_year,Financials / incentives,The reference year used to determine whether the trigger for the tax credit phaseout threshold has been hit (with 100by),N/A,2022,
GSw_TCPhaseout_schedule,Financials / incentives,The schedule by which the tax credits phase out. This assumes that the phaseout schedule starts on the year after the threshold is met. The phaseout may still have a period of full credit after the trigger has been met depending on the policy definition.,ira2022,ira2022,
GSw_TCPhaseout_start,Financials / incentives,Earliest allowed Applicable Year for the tax credit phaseout. The tax credit phaseout schedule starts on the year following this year; or later if the emission threshold is not met by this year,N/A,2032,
GSw_TCPhaseout_trigger_f,Financials / incentives,The fraction of emissions from the ref year used to determine whether the trigger for the tax credit phaseout has been hit,float,0.25,
GSw_TransCapMaxEachType,Transmission / spur infrastructure,[GW] maximum transmission capacity allowed across each individual BA-BA interface for each trtype (constraint is off if set to 0; must be 0 or >= existing capacity (26.13 for AC)),N/A,0,
GSw_TransCapMaxAllTypes,Transmission / spur infrastructure,[GW] maximum transmission capacity allowed across each individual BA-BA interface for all trtypes together (constraint is off if set to 0; must be 0 or >= existing capacity (26.13 for AC)),N/A,0,
GSw_TransCapMaxTypes,Transmission / spur infrastructure,Transmission types to limit according to GSw_TransCapMaxEachType and GSw_TransCapMaxAllTypes [0 = none; 1 = all; 2 = VSC; 3 = all DC],0; 1; 2; 3,1,
GSw_TransIntraCost,Transmission / spur infrastructure,[USD2004/kW] intra-zone network reinforcement cost for all technologies (100 USD2022/kW using gas cost from slide 14 of https://emp.lbl.gov/publications/generator-interconnection-costs),N/A,65,
GSw_TransInvMaxLongTerm,Transmission / spur infrastructure,[TW-mile/year] maximum transmission capacity investment per year IN/AFTER firstyear_trans_longterm (constraint is OFF if set to 0 meaning unlimited trans investment; annual max since 2009 is ~3.64),N/A,0,
GSw_TransInvMaxNearTerm,Transmission / spur infrastructure,[TW-mile/year] maximum transmission capacity investment per year BEFORE firstyear_trans_longterm (constraint is OFF if set to 0 meaning unlimited trans investment; annual mean since 2009 is ~1.4),float,1.4,
GSw_TransInvNearTerm,Transmission / spur infrastructure,Indicate whether to allow transmission investment before firstyear_trans_longterm,0; 1,0,
GSw_TransInvMaxTypes,Transmission / spur infrastructure,Types of transmission to include in annual investment limit: 0=none; 1=interzonal (r); 2=interzonal + reinforcement; 3=interzonal + reinforcement + spur,0; 1; 2; 3,1,
GSw_TransInvPRMderate,Transmission / spur infrastructure,[fraction] amount by which to derate the capacity of new transmission investments for PRM trading (0 = no derate),float,0.15,
GSw_TransCostMult,Transmission / spur infrastructure,Multiplier for bulk BA-BA transmission costs,float,1,
GSw_TransHurdleLevel1,Transmission / spur infrastructure,Apply hurdle rates from inputs/transmission/cost_hurdle_intra.csv between regions at the specified hierarchy level,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; hurdlereg,transgrp,
GSw_TransHurdleLevel2,Transmission / spur infrastructure,Apply hurdle rates from inputs/transmission/cost_hurdle_intra.csv between regions at the specified hierarchy level,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; hurdlereg,hurdlereg,
GSw_TransHurdleRate,Transmission / spur infrastructure,Turn on (1) or off (0) hurdle rates between hierarchy regions as defined by GSw_TransHurdleLevel1/GSw_TransHurdleLevel2 and inputs/transmission/cost_hurdle_intra.csv,0; 1,0,
GSw_TransNetworkSource,Transmission / spur infrastructure,Network source for the initial transmission network used in the model,NARIS2024,NARIS2024,
GSw_TransRestrict,Transmission / spur infrastructure,hierarchy level within which to allow new transmission lines,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region,country,
GSw_TransScen,Transmission / spur infrastructure,Transmission expansion scenario (options in inputs/transmission),N/A,default,
GSw_TransSquiggliness,Transmission / spur infrastructure,Transmission distance multiplier to approximate the squigglier paths followed by actual lines (only applied to NEW lines),float,1,
GSw_TransUpgradeMethod,Transmission / spur infrastructure,Method for calculating AC transmission upgrade costs,500kv,500kv,
GSw_TransGroupContraint,Transmission / spur infrastructure,Indicate whether to apply flow constraint on groups of transmission interfaces,0; 1,1,
GSw_TransGroupDerate,Transmission / spur infrastructure,[fraction] amount by which to derate the capacity of grouped transmission flows for new transmission additions (0 = no derate),float,0.15,
GSw_Upgrades,Retirement / refurbishment / upgrades,Switch to turn upgrades on or off - not to be used with water constraints - value of 2 indicates persistent upgrades,0; 1; 2,1,
GSw_UpgradeLifespan,Retirement / refurbishment / upgrades,Lifespan for retirements when sw_upgrades is set to 1,N/A,50,
GSw_UpgradeYear,Retirement / refurbishment / upgrades,First year when upgrades are allowed,N/A,2028,
GSw_UpgradeChar_Year,Retirement / refurbishment / upgrades,Year from which to grab the characteristics for upgraded init-X plant characteristics,N/A,2028,
GSw_UpgradeDerate,Retirement / refurbishment / upgrades,Switch to turn upgrade degrades off/on,0; 1,1,
GSw_UpgradeHeatRateAdj,Retirement / refurbishment / upgrades,Use HeatRate for upgrades from NEMS,0; 1,1,
GSw_UpgradeATBCosts,Retirement / refurbishment / upgrades,Use ATB upgrade costs,0; 1,0,
GSw_UpgradeVOM_Nems,Retirement / refurbishment / upgrades,Use VOM for upgrades from NEMS ,0; 1,1,
GSw_UpgradeFOM_Nems,Retirement / refurbishment / upgrades,Use FOM for upgrades from NEMS,0; 1,1,
GSw_UpgradeCost_Mult,Retirement / refurbishment / upgrades,"specify scenario for controlling upgrades over time -  0=mid 1=adv 2=con, 3=1, 4=1+(1-mid), 5=1.2",0; 1; 2; 3; 4; 5,0,
GSw_Upstream,Policy / emissions constraints,Include both upstream and process emissions in CO2 and CO2e calculation if 1 and only process emission if 0,0; 1,0,
GSw_ValStr,Value streams - Pipeline toggle,Turn on/off value streams,0; 1,0,
GSw_VSC_ConverterMax,Transmission / spur infrastructure,maximum AC/DC converter capacity allowed in each BA [MW] (constraint is off if set to 0),N/A,0,
GSw_WaterCapacity,Water / climate impacts,Turn on/off the water capacity constraints,0; 1,0,
GSw_WaterMain,Water / climate impacts,Turn on/off the representation of water use and source types,0; 1,0,
GSw_WaterUse,Water / climate impacts,Turn on/off the water capacity and water use constraints,0; 1,0,
debug,Diagnostics - Pipeline toggle,Write and keep intermediate files and equation elements to help with debugging. The value of the switch is passed to `option limrow` and `option limcol` and indicates the number of equation and variable entries to print,int,0,
cleanup_level,Run setup / execution,How aggressively to clean up the case folder (see postprocessing/cleanup_files.py for explanation),int,0,
diagnose,Diagnostics - Pipeline toggle,Write A and B matrix of the model [0 = no diagnose ; 1 = diagnose ],0; 1,0,
diagnose_year,Diagnostics - Pipeline toggle,Year in which to start report diagnose,N/A,2022,
dump_alldata,Diagnostics - Pipeline toggle,switch to automatically dump data from final solve year into .gdx file,0; 1,0,
file_replacements,Run setup / execution,"List of files to replace from run folder, e.g: inputs_case/national_gen_frac.csv << //nrelnas01/ReEDS/some proj/national_gen_frac.csv || c_supplymodel.gms << //nrelnas01/ReEDS/some proj/c_supplymodel.gms",N/A,none,
input_processing_only,Run flow - Pipeline toggle,Only run input_processing scripts; stop before creating and solving model,0; 1,0,
keep_augur_files,PRAS/resource adequacy - Pipeline toggle,Indicate whether to keep (1) or delete (0) Augur csv and h5 files after Augur finishes. If you plan to run PRAS via ReEDS2PRAS then set this switch to 1.,0; 1,0,
keep_g00_files,Run setup / execution,Keep (1) or delete (0) .g00 files for completed solve years,0; 1,0,
keep_run_terminal,Run setup / execution,"0=close run terminal, 1=keep run terminal open",0; 1,0,
